"id","category","de","zh-Hans","context","limit","status","note"
"board.rules.intro","i18n","Alle spielen wöchentlich denselben Seed unter fairer Baseline: der Upgrade-Baum hat keine Wirkung ({rerolls} Rerolls je Phase, alle Raritäten, Legendär-Phase in Durchlauf {legCycle}). Jede Woche verändern 3–5 zufällige Modifikatoren (≥2 positiv, ≥1 negativ) den Lauf, für alle identisch. Nur abgeschlossene Läufe zählen; am Wochenende wandert Platz 1 ins Challenger-Archiv, das Board startet neu.","每周所有人都在同一个种子、同一套公平基准下游玩：升级树在这里不生效（每阶段{rerolls}次重抽，全部稀有度开放，传说阶段出现在第{legCycle}轮）。每周有3–5个随机修正项改变这一局（≥2个正面、≥1个负面），对所有人完全相同。只有完成的对局才计入榜单；周末时第1名进入挑战者档案，榜单重新开始。","längste Beschreibung im Katalog","","new","DE-Länge 396 Zeichen"
"build.perks.emptyRun","i18n","Noch keine Perks. In manchen Durchläufen wählst du einen dazu.","还没有天赋。在某些轮次里你可以额外选一个。","eyebrow: Hierarchie aus uppercase","","new","DE-Länge 62 Zeichen"
"build.skills.emptyRun","i18n","Noch keine Skills, ab Durchlauf {cycle} wählbar.","还没有技能，从第{cycle}轮起可以选择。","eyebrow: Hierarchie aus uppercase","","new","DE-Länge 48 Zeichen"
"chronik.archCount","i18n","{n} Gebäude · {used}/{max} Zellen","{n}座建筑 · {used}/{max}格","eyebrow: Hierarchie aus uppercase","","new","DE-Länge 33 Zeichen"
"common.cur.dp","i18n","DP","DP","role:text-meta kürzeste","","new","DE-Länge 2 Zeichen"
"common.cur.sp","i18n","SP","SP","role:text-meta kürzeste","","new","DE-Länge 2 Zeichen"
"deckdetail.consumer","i18n","Konsument","消耗者","role:text-micro (alle 13)","","new","DE-Länge 9 Zeichen"
"deckdetail.needs","i18n","braucht {name}","需要{name}","role:text-micro (alle 13)","","new","DE-Länge 14 Zeichen"
"deckdetail.trimmable","i18n","trimmbar","可修剪","role:text-micro (alle 13)","","new","DE-Länge 8 Zeichen"
"dev.run.title","i18n","DEV RUN","DEV RUN","role:text-title (alle 8)","","new","DE-Länge 7 Zeichen"
"feedback.draftSent","i18n","Dein zuletzt hängengebliebener Report ist jetzt rausgegangen.","你上次卡住没发出去的报告，现在已经发送了。","role:text-body längste","","new","DE-Länge 61 Zeichen"
"feedback.err.offline","i18n","Der Melder ist in diesem Build nicht konfiguriert; dein Text geht hier gerade nirgendwohin.","这个版本没有配置反馈通道；你写的内容现在不会送到任何地方。","role:text-body längste","","new","DE-Länge 91 Zeichen"
"feedback.kind","i18n","Art","类型","role:text-meta kürzeste","","new","DE-Länge 3 Zeichen"
"feedback.name","i18n","Name","名字","role:text-meta kürzeste","","new","DE-Länge 4 Zeichen"
"form.collapse.more","i18n","mehr","更多","role:text-meta kürzeste","","new","DE-Länge 4 Zeichen"
"form.eyebrow","i18n","Aufstellung · Durchlauf {cycle}","布阵 · 第{cycle}轮","eyebrow: Hierarchie aus uppercase","","new","DE-Länge 31 Zeichen"
"form.hint.pre","i18n","Tippe zwei Karten zum Tauschen (1 Energie) · Formationen entstehen nur","点击两张卡牌交换位置（1能量） · 阵型只能","role:text-body längste","","new","DE-Länge 70 Zeichen"
"fxsyn.blackhole.desc","i18n","Ein persistentes Schwarzes Loch mitten im Feld, das über deine Siegesserie wächst: Jeder Sieg zieht die geschlagene Gegnerkarte spiralförmig in den Ereignishorizont und speist die rotierende Akkretionsscheibe, eine Niederlage lässt das Loch schrumpfen. Ist es groß genug gewachsen und kollabiert, zerreißt eine Supernova das Feld. In Standard blau/pink oder in der Deckfarbe.","场地中央有一个持续存在的黑洞，它会随着你的连胜不断变大：每次获胜都会把被击败的对手卡牌螺旋吸入事件视界，为旋转的吸积盘补充能量；失败则让黑洞缩小。当它长得足够大并坍缩时，一场超新星会撕裂整个场地。默认为蓝/粉配色，也可跟随卡组配色。","längste Beschreibung im Katalog","","new","DE-Länge 375 Zeichen"
"fxsyn.hologridSlice.desc","i18n","Eine Laserlinie fährt achsen-parallel über die geschlagene Gegnerkarte und deckt dabei ein Nahtraster auf. Danach zerfällt die Karte in ein Kachelgitter: die Stücke fliegen mit Rotation weg und prallen vom Boden ab, während das Kartenbild früh verblasst, sodass nur noch der leuchtende Hologrid-Rahmen bleibt. In Standard-Cyan/Magenta oder in der Deckfarbe.","一道激光线沿轴向扫过被击败的对手卡牌，露出一层接缝网格。随后卡牌碎成方格阵列：碎片一边旋转一边飞散，并从地面弹起；卡面图案很早就淡出，最后只剩下发光的全息网格边框。默认为青/品红配色，也可跟随卡组配色。","längste Beschreibung im Katalog","","new","DE-Länge 357 Zeichen"
"fxsyn.klinge.desc","i18n","Eine choreografierte Klinge zerteilt die Gegnerkarte. Grundzug ist ein Schnitt von links; je höher dein Serien-Multiplikator, desto mehr Richtungen fahren nacheinander ein (ab ×1,25 links/rechts im Wechsel, ab ×1,5 zusätzlich von oben, ab ×2,0 alle vier inkl. Z-Schnitt). Die Klinge schneidet dann auch härter. Eine Niederlage setzt die Serie zurück. In kühlem Stahlweiß oder in der Deckfarbe.","一把编排好的利刃将对手卡牌斩开。基础动作是从左侧一刀；连胜倍率越高，依次入场的方向就越多（×1.25起左右交替，×1.5起额外从上方，×2.0起四个方向齐上并加入Z形斩）。刀锋也会随之切得更狠。一次失败会重置连胜。默认为冷调钢白，也可跟随卡组配色。","längste Beschreibung im Katalog","","new","DE-Länge 393 Zeichen"
"gameover.chart.first","i18n","erster Lauf","第一局","Laufweite: tracking-* ohne uppercase","","new","DE-Länge 11 Zeichen"
"gameover.chart.run","i18n","Lauf","对局","role:text-meta kürzeste","","new","DE-Länge 4 Zeichen"
"gameover.layout.hint","i18n","Antippen zeigt am Brett, wo es liegt.","点击即可在棋盘上定位它。","eyebrow: Hierarchie aus uppercase","","new","DE-Länge 37 Zeichen"
"glacierpick.intro.a","i18n","Sie friert auf ihrer Zelle fest. Ab dann","它会冻结在所在的格子上，从此","eyebrow: Hierarchie aus uppercase","","new","DE-Länge 40 Zeichen"
"glacierpick.intro.b","i18n","(nicht mehr verschiebbar) und sammelt Masse, bis sie bricht. Entscheide zwischen Position und Wert.","（无法再移动），并每轮积累质量，直到碎裂。请在位置和数值之间做出取舍。","role:text-body längste","","new","DE-Länge 99 Zeichen"
"glacierpick.intro.rigid","i18n","starr","僵固","role:text-body kürzeste","","new","DE-Länge 5 Zeichen"
"glacierpick.title","i18n","Wähle eine Karte als Gletscher","选择一张卡牌作为冰川","eyebrow: Hierarchie aus uppercase","","new","DE-Länge 30 Zeichen"
"glossary.bersten.text","i18n","Erreicht ein Gletscher 12 Masse, bricht er: Berst-Score aus Masse × Wucht der erreichten Schwelle (Schwellen 4 / 8 / 12), verstärkt um +25 % je angrenzendem Gletscher und Kollision, wenn der Bruch einen Gletscher-Nachbarn trifft. Danach fällt er auf 0 ab und füllt sich zum Durchlauf-Beginn aus seiner Boden-Reserve wieder auf.","当冰川的质量达到12时，它就会碎裂：碎裂得分由质量×所达阈值的冲击力得出（阈值为4/8/12），每有一座相邻冰川就再增强+25%；若碎裂波及相邻的冰川，还会触发碰撞。之后它的质量归0，并在每轮开始时从自己的地面储量重新补充。","längste Beschreibung im Katalog","","new","DE-Länge 327 Zeichen"
"glossary.freeze.text","i18n","Schnee liegt als Reserve auf dem Brettfeld, getrennt von der Gletschermasse. Frierst du einen Gletscher auf ein aufgeladenes Feld, wird der angesammelte Schnee zu seiner Boden-Reserve; der Gletscher startet leer und zieht daraus jeden Durchlauf wieder auf volle 12 Masse nach (nur die Differenz, nie darüber), bis die Reserve leer ist. Offenen Boden laden Dauerfrost, Schneetreiben und Eiszeit auf, nie unter einen Gletscher.","积雪以储量的形式留在棋盘格上，与冰川质量分开计算。当你把一座冰川冻结在已积雪的格子上时，格子上攒下的雪就成为它的地面储量；冰川从空的状态开始，每轮都从储量中补充，直到质量回到满值12（只补差额，绝不超过），直至储量耗尽。永冻、暴雪和冰期只会给空着的地面积雪，永远不会积到冰川下面。","längste Beschreibung im Katalog","","new","DE-Länge 425 Zeichen"
"glossary.ionize.text","i18n","Dauerhafte Kartenmarkierung: eine ionisierte Karte gibt bei Sieg +12 Score je Stapel und erhält danach +1 Stapel (max 5). Zusätzlich lädt das ionisierte Feld die Luft auf: jeder Ionisierungsstapel im Deck hebt die Crit-Chance JEDER Siegkarte um +2 % (feldweit, bis +18 %). Wie viele Karten je Ladungsverbrauch ionisieren, wächst mit dem Archetyp: +1 je Blitz-Skill über 2.","永久性的卡牌标记：被电离的卡牌每次获胜时按层数给予每层+12得分，之后自身再+1层（最多5层）。此外，电离还会让整个场地的空气带电：卡组里每一层电离都会让任意一张获胜卡牌的暴击率提高+2%（全场生效，最高+18%）。每次消耗充能能电离多少张卡牌，取决于流派：闪电技能每超过2个就多电离1张。","längste Beschreibung im Katalog","","new","DE-Länge 372 Zeichen"
"glossary.struktur.text","i18n","Eine vollständig bebaute Zeile, Spalte oder Diagonale (eine vollendete Struktur) gibt einen Multiplikator; sie stapeln multiplikativ. Manche Gebäude (Speicherstadt, Sternwarte) zahlen zusätzlich je vollendeter Struktur. Zusammen mit den Distrikt-Faktoren ergibt das den Gebäude-Boost, den die Bauphase oben anzeigt.","一条被完全建满的行、列或对角线（即一个完成的结构）会带来一个倍率；多个结构之间以乘法叠加。部分建筑（仓库城、天文台）还会按完成的结构数量额外结算。它与街区系数一起构成建造阶段顶部显示的建筑加成。","längste Beschreibung im Katalog","","new","DE-Länge 315 Zeichen"
"glossary.subtitle","i18n","Begriffe & Sonderregeln, keine einzelnen Perks/Skills","术语与特殊规则，不含具体的天赋/技能","Laufweite: tracking-* ohne uppercase","","new","DE-Länge 53 Zeichen"
"guide.fire.loop.valve","i18n","Ist die Leiste **voll**, verfällt weiterer Hitzegewinn, es sei denn, du hältst den Skill **Weißglut**: dann staut sich der Überschuss als **Überhitzung** auf und hebt deinen gesamten Feuer-Score, solange du sie fütterst. Und wann immer du willst, schüttest du die gesammelte Hitze aus: als einen großen Schlag oder als steten Tropf.","热量条**满**了以后，继续获得的热量就会流失，除非你持有技能**白热**：这时多余的热量会积成**过热**，只要你不断喂它，它就会抬高你全部的火焰得分。而且你随时都可以把攒下的热量倾泻出去：要么一次爆发，要么细水长流。","längste Beschreibung im Katalog","","new","DE-Länge 332 Zeichen"
"guide.subtitle","i18n","So spielst du jeden Archetyp, durchklicken","每个流派怎么玩，逐页点开看","Laufweite: tracking-* ohne uppercase","","new","DE-Länge 42 Zeichen"
"hud.mult","i18n","Mult","倍率","role:text-micro (alle 13)","","new","DE-Länge 4 Zeichen"
"hud.streak.best","i18n","best {n}","最佳{n}","role:text-micro (alle 13)","","new","DE-Länge 8 Zeichen"
"hud.time","i18n","Zeit","时间","role:text-meta kürzeste","","new","DE-Länge 4 Zeichen"
"milestone.label","i18n","💠 Meilensteine {n}/{total}","💠 里程碑{n}/{total}","Laufweite: tracking-* ohne uppercase","","new","DE-Länge 27 Zeichen"
"milestone.label.sp","i18n","💠 Meilensteine {n}/{total} · +{sp} SP","💠 里程碑{n}/{total} · +{sp} SP","Laufweite: tracking-* ohne uppercase","","new","DE-Länge 38 Zeichen"
"music.title","i18n","Musik","音乐","role:text-meta kürzeste","","new","DE-Länge 5 Zeichen"
"name.preview.you","i18n","du","你","role:text-body kürzeste","","new","DE-Länge 2 Zeichen"
"perk.L_ZINS.desc","i18n","Die Bank: Jeder gewonnene Stich legt 12 % seines Scores aufs Kapital. Endet ein Durchlauf mit mindestens 65 % Siegen, zahlt sie Kapital × Zinssatz aus und der Zinssatz steigt um 4 Prozentpunkte (Start 12 %, höchstens 40 %); das Kapital bleibt liegen. Verfehlst du die Quote, crasht das Konto: 25 % des Kapitals sind weg und der Zinssatz fällt um 4 Prozentpunkte zurück.","银行：每赢下一墩，就把该墩得分的12%存入本金。若一轮结束时胜率达到至少65%，银行按本金×利率付息，利率随之提高4个百分点（初始12%，最高40%）；本金继续留在账上。没达到这个比率，账户就会崩盘：本金损失25%，利率回落4个百分点。","längste Beschreibung im Katalog","","new","DE-Länge 369 Zeichen"
"privacy.installId.hint","i18n","Nenne sie, wenn du eine Löschung deiner gesendeten Daten möchtest; ohne sie lassen sich deine Zeilen nicht finden. Sie steht nur auf diesem Gerät und sagt nichts darüber, wer du bist.","如果你想删除已发送的数据，请提供这个标识；没有它就找不到属于你的那些记录。它只存在于这台设备上，也不会透露你是谁。","role:text-meta längste","","new","DE-Länge 183 Zeichen"
"privacy.intro","i18n","Autostich läuft im Browser, ohne Konto und ohne Anmeldung. Zwei Dinge verlassen dein Gerät, beide stehen hier vollständig.","Autostich在浏览器里运行，不需要账号，也不需要登录。只有两样东西会离开你的设备，它们在这里被完整列出。","role:text-body-lg längste","","new","DE-Länge 122 Zeichen"
"privacy.sec.board.body","i18n","Wenn du einen Lauf in die Bestenliste stellst: dein selbst gewählter Nickname, Score, Durchläufe, Stiche, Archetypen, Perks, Skills, der Seed, der Ausbaustand deines Upgrade-Baums (wie viele Knoten freigeschaltet waren) und die Kennzahlen des Laufs (beste Serie, Formationen, Crits, Siege, bester Stich, Score-Anteile). Der Nickname ist für alle Spieler sichtbar; wähle also nichts, worüber man dich findet. Ohne Nickname wird nichts veröffentlicht.","当你把一局成绩提交到排行榜时：你自己取的昵称、得分、轮次数、墩数、流派、天赋、技能、种子、你升级树的开发程度（解锁了多少节点），以及这一局的各项数据（最佳连胜、阵型、暴击、胜场、最佳单墩、得分构成）。昵称对所有玩家可见，所以别取一个能让人找到你的名字。不填昵称就不会公开任何内容。","längste Beschreibung im Katalog","","new","DE-Länge 449 Zeichen"
"privacy.sec.telemetry.body","i18n","Nach jedem Lauf: Score, Durchläufe, Stiche, gewählte Perks, Skills und Gebäude, dein Fortschritt im Upgrade-Baum, gekaufte Kosmetik und der Seed. Dazu grober Gerätekontext: Browserkennung (auf {ua} Zeichen gekürzt), Prozessorkerne, Gerätespeicher, Sprache, Fenstergröße, Pixeldichte und ob das Gerät Touch hat. Plus eine zufällig gewürfelte Install-Kennung, damit mehrere Läufe desselben Geräts zusammengehören. Kein Name, keine E-Mail, keine Anmeldung. Abschalten: Optionen → „Anonyme Spieldaten senden“. Aus heißt wirklich aus: auch was noch in der Warteschlange liegt, wird gelöscht.","每局结束后：得分、轮次数、墩数、所选天赋、技能和建筑、你在升级树上的进度、已购买的外观以及种子。此外还有粗略的设备信息：浏览器标识（截断到{ua}个字符）、处理器核心数、设备内存、语言、窗口尺寸、像素密度，以及设备是否支持触控。再加上一个随机生成的安装标识，用来把同一台设备的多局记录关联起来。没有姓名，没有邮箱，也没有登录。关闭方法：选项 → 「发送匿名游戏数据」。关掉就是真的关掉：还在队列里等待发送的数据也会被删除。","längste Beschreibung im Katalog","","new","DE-Länge 586 Zeichen"
"rail.rate","i18n","Quote","胜率","role:text-body kürzeste","","new","DE-Länge 5 Zeichen"
"rail.trend.first","i18n","erster Lauf","第一局","Laufweite: tracking-* ohne uppercase","","new","DE-Länge 11 Zeichen"
"rail.trend.run","i18n","Lauf","对局","role:text-meta kürzeste","","new","DE-Länge 4 Zeichen"
"runstats.hidden","i18n","Perks und Aufstellung bleiben bei fremden Läufen verdeckt: Die sechs Skills zeigen den Stil eines Laufs, nachbauen ließe er sich erst über die Perks.","查看别人的对局时，天赋和布阵是隐藏的：六个技能已经能看出一局的风格，而要真正复刻，还得知道天赋。","role:text-meta längste","","new","DE-Länge 149 Zeichen"
"runstats.tree.note","i18n","Der Baum wirkt dauerhaft in jedem Lauf außerhalb der Rangliste; zwei Scores lassen sich erst vergleichen, wenn man weiß, wie viel Meta-Fortschritt dahinterstand.","在排行榜之外的每一局里，升级树都会持续生效；只有知道背后有多少局外进度，两个得分才有可比性。","role:text-meta längste","","new","DE-Länge 161 Zeichen"
"shop.fx.hint","i18n","Effekte sind global: einmal gekauft, für alle Packs. Kategorie oben wählen, Effekt tippen → er läuft in der Bühne; dort kaufen bzw. wählen / an-aus. Doppeltippen in der Liste schaltet direkt um.","特效是全局的：买一次，对所有套装都生效。在上方选择类别，点击某个特效 → 它会在展示台里播放；在那里购买或选择/开关。在列表中双击可以直接切换。","role:text-meta längste","","new","DE-Länge 194 Zeichen"
"shop.hint.challenge","i18n","Ein Herausforderungs-Deck wird nicht gekauft, sondern über eine Herausforderung freigeschaltet. Tippe es an → Vorschau + Freischalt-Bedingung; sobald erfüllt, aktivierst du es direkt.","挑战卡组不能购买，只能通过完成挑战解锁。点击它 → 显示预览和解锁条件；条件一旦满足，你就能直接启用它。","role:text-meta längste","","new","DE-Länge 183 Zeichen"
"shop.hint.pack","i18n","Ein Pack bündelt Karte (Front + Back) und Battlefield. Tippe ein Pack an → Detail-Ansicht mit Vorschau; Kaufen aktiviert das Pack direkt.","一个套装包含卡牌（正面+背面）和战场。点击某个套装 → 打开带预览的详情页；购买后会直接启用该套装。","role:text-meta längste","","new","DE-Länge 137 Zeichen"
"shop.title","i18n","Deck-Werkstatt","卡组工坊","role:text-title (alle 8)","","new","DE-Länge 14 Zeichen"
"skill.bonus.hint","i18n","Zusatz-Slot aus deinem letzten Perk. Wähle sofort einen weiteren Skill.","你上一个天赋带来的额外槽位。现在立刻再选一个技能。","role:text-body längste","","new","DE-Länge 71 Zeichen"
"skill.cancel","i18n","Abbrechen","取消","role:text-body-lg kürzeste","","new","DE-Länge 9 Zeichen"
"skill.eyebrow","i18n","Skill · Durchlauf {cycle} · {held}/{slots} Slots","技能 · 第{cycle}轮 · {held}/{slots}槽位","eyebrow: Hierarchie aus uppercase","","new","DE-Länge 48 Zeichen"
"skill.passive.ice","i18n","Jeder Eis-Skill friert eine deiner Karten als Gletscher fest, auch wenn du bei vollen Skill-Slots tauschst. Sie lässt sich dann in keiner Aufstellung mehr verschieben, sammelt dafür jeden Durchlauf Masse und bricht schließlich über ihre Nachbarn. Ab {declineFrom} gehaltenen Eis-Skills friert sogar das Ablehnen eines Angebots einen Gletscher ein, du kannst also mehr Gletscher haben als Skill-Slots.","每个冰技能都会把你的一张卡牌冻结成冰川，即使你在技能槽已满时替换技能也一样。这张卡牌之后在任何布阵里都不能再移动，但会每轮积累质量，最终碎裂并波及邻居。当你持有{declineFrom}个及以上冰技能时，连拒绝一次技能提供也会冻出一座冰川，所以你的冰川可以比技能槽还多。","längste Beschreibung im Katalog","","new","DE-Länge 400 Zeichen"
"skill.passive.plant","i18n","Jeder Sieg gibt der Karte bis zu +1 Wachstum, volles Tempo ab {ref} Pflanzen-Skills. Ab {green} Wachstum wird sie grün. Hältst du nur Pflanzen-Skills, gibt je {perValue} Wachstum +1 Kartenwert, bis {cap}; dann ist sie voll ausgewachsen. Ab {minSkills} Pflanzen-Skills wächst sie dabei auch bei jeder {everyLoss}. Niederlage.","每次获胜最多给该卡牌+1生长，持有{ref}个植物技能时达到满速。生长达到{green}时它变绿。如果你只持有植物技能，每{perValue}点生长会让卡牌数值+1，最多到{cap}；到那时它就完全长成了。持有{minSkills}个及以上植物技能时，它每{everyLoss}次失败也会生长。","längste Beschreibung im Katalog","","new","DE-Länge 324 Zeichen"
"skill.replace.new","i18n","Neu:","新：","role:text-body kürzeste","","new","DE-Länge 4 Zeichen"
"skill.replace.tap","i18n","Tippe den Skill, der weichen soll.","点击要被替换掉的技能。","eyebrow: Hierarchie aus uppercase","","new","DE-Länge 34 Zeichen"
"skill.slotsFull.hint","i18n","Alle {slots} Slots belegt. Wähle einen neuen Skill; ein Fenster fragt dann, welchen du ersetzt.","{slots}个槽位已全部占满。选择一个新技能后，会弹出窗口问你要替换掉哪一个。","role:text-body längste","","new","DE-Länge 95 Zeichen"
"start.normal","i18n","Lauf beginnen","开始新局","role:text-title (alle 8)","","new","DE-Länge 13 Zeichen"
"start.ranked.bonus","i18n","Bonus {have}/{max}","加成{have}/{max}","role:text-micro (alle 13)","","new","DE-Länge 18 Zeichen"
"start.resume","i18n","▶ Lauf fortsetzen","▶ 继续这一局","role:text-title (alle 8)","","new","DE-Länge 17 Zeichen"
"start.seed.error","i18n","Kein gültiger Seed. Prüf den Code und versuch es erneut.","种子无效。请检查这串代码后再试一次。","role:text-body längste","","new","DE-Länge 56 Zeichen"
"start.seed.play","i18n","↻ Spielen","↻ 开始游戏","role:text-body-lg kürzeste","","new","DE-Länge 9 Zeichen"
"start.tutorial.offer","i18n","Tutorial starten","开始教程","role:text-title (alle 8)","","new","DE-Länge 16 Zeichen"
"start.tutorial.offer.sub","i18n","Ein geführter Lauf erklärt dir alles Schritt für Schritt","一局带引导的对局，会一步一步教你所有内容","role:text-body-lg längste","","new","DE-Länge 56 Zeichen"
"stats.coarseOrigin","i18n","Älterer Lauf: grobes Herkunft-Modell (Formation / Crit / Gebäude / Sonstige). Neue Läufe zeigen die feine Fraktions-Aufschlüsselung.","较早的对局：只有粗略的来源模型（阵型/暴击/建筑/其他）。新的对局会显示更细的占比拆解。","role:text-meta längste","","new","DE-Länge 132 Zeichen"
"stats.desk.readout","i18n","Alle Zahlen liegen lokal auf diesem Gerät. Eine Zeile anklicken öffnet den vollständigen Lauf.","所有数据都保存在这台设备本地。点击某一行即可打开完整的对局记录。","role:text-title (alle 8)","","new","DE-Länge 94 Zeichen"
"stats.noPatterns","i18n","Noch keine klaren Muster: deine Wahl variiert (noch) zu stark für belastbare Lift-Aussagen.","还看不出明确的模式：你的选择（目前）变化太大，得不出可靠的提升度结论。","role:text-body längste","","new","DE-Länge 91 Zeichen"
"stats.noSkills","i18n","Noch keine Skills gespielt.","还没有用过任何技能。","eyebrow: Hierarchie aus uppercase","","new","DE-Länge 27 Zeichen"
"stats.title","i18n","Statistiken","统计","role:text-title (alle 8)","","new","DE-Länge 11 Zeichen"
"stats.tooFew","i18n","Zu wenige Läufe für belastbare Aussagen ({have}/{need}). Spiel noch ein paar Runs.","对局太少，还得不出可靠结论（{have}/{need}）。再多玩几局吧。","role:text-body längste","","new","DE-Länge 82 Zeichen"
"tut.archetypen.blitz.0","i18n","Blitz sammelt Ladung und macht daraus Crits. Beides baut er selbst auf.","闪电会积累充能，并把充能变成暴击。这两样它都能自己攒出来。","zusammenhängende Tutorial-Lektion (Fließtext)","","new","DE-Länge 71 Zeichen"
"tut.archetypen.blitz.1","i18n","Wie du Blitz spielst, steht im Leitfaden.","闪电具体怎么玩，指南里有写。","zusammenhängende Tutorial-Lektion (Fließtext)","","new","DE-Länge 41 Zeichen"
"tut.archetypen.blitz.2","i18n","Blitz beginnt langsam. Er zahlt spät, dafür heftig.","闪电起步很慢。它回报来得晚，但来得猛。","zusammenhängende Tutorial-Lektion (Fließtext)","","new","DE-Länge 51 Zeichen"
"tut.archetypen.blitz.title","i18n","Blitz","闪电","zusammenhängende Tutorial-Lektion (Fließtext)","","new","DE-Länge 5 Zeichen"
