"id","category","de","es","en_ref","context","limit","status","note"
"building.A_LOSBUDE.tier2.eff","building","Crit-Sieg +135 Score · Sieg ohne Crit −15 Score","","","Architekt-Gebäude „Losbude"" — Effekt Stufe II","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_LOSBUDE.tier3.eff","building","Crit-Sieg +198 Score · Sieg ohne Crit −15 Score","","","Architekt-Gebäude „Losbude"" — Effekt Stufe III","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_LOSBUDE.tier4.eff","building","Crit-Sieg +279 Score · Sieg ohne Crit −15 Score","","","Architekt-Gebäude „Losbude"" — Effekt Stufe IV","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_MARKT.tier1.eff","building","Sieg +20 Score je Nachbargebäude (max 4)","","","Architekt-Gebäude „Marktplatz"" — Effekt Stufe I","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_MARKT.tier2.eff","building","Sieg +30 Score je Nachbargebäude (max 4)","","","Architekt-Gebäude „Marktplatz"" — Effekt Stufe II","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_MARKT.tier3.eff","building","Sieg +44 Score je Nachbargebäude (max 4)","","","Architekt-Gebäude „Marktplatz"" — Effekt Stufe III","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_MARKT.tier4.eff","building","Sieg +62 Score je Nachbargebäude (max 4)","","","Architekt-Gebäude „Marktplatz"" — Effekt Stufe IV","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_MEILENSTEIN.tier1.eff","building","jeder 5. Sieg auf diesem Gebäude +200 Score","","","Architekt-Gebäude „Meilenstein"" — Effekt Stufe I","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_MEILENSTEIN.tier2.eff","building","jeder 5. Sieg auf diesem Gebäude +300 Score","","","Architekt-Gebäude „Meilenstein"" — Effekt Stufe II","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_MEILENSTEIN.tier3.eff","building","jeder 5. Sieg auf diesem Gebäude +440 Score","","","Architekt-Gebäude „Meilenstein"" — Effekt Stufe III","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_MEILENSTEIN.tier4.eff","building","jeder 3. Sieg auf diesem Gebäude +620 Score","","","Architekt-Gebäude „Meilenstein"" — Effekt Stufe IV","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_PRISMA.legendary.eff","building","Formations-Joker (Wiederholung/Farbblock/Treppe/Wechsel)","","","Architekt-Gebäude „Prisma"" — Effekt (legendär)","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_PRUNKSAAL.legendary.eff","building","Sieg +300 Score","","","Architekt-Gebäude „Prunksaal"" — Effekt (legendär)","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_QUADER.tier1.eff","building","alle Abgedeckten +2 Stichwert","","","Architekt-Gebäude „Quader"" — Effekt Stufe I","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_QUADER.tier2.eff","building","alle Abgedeckten +3 Stichwert","","","Architekt-Gebäude „Quader"" — Effekt Stufe II","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_QUADER.tier3.eff","building","alle Abgedeckten +4 Stichwert","","","Architekt-Gebäude „Quader"" — Effekt Stufe III","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_QUADER.tier4.eff","building","alle Abgedeckten +6 Stichwert","","","Architekt-Gebäude „Quader"" — Effekt Stufe IV","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_RAMPE.tier1.eff","building","niedrige Karten +2 Stichwert","","","Architekt-Gebäude „Rampe"" — Effekt Stufe I","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_RAMPE.tier2.eff","building","niedrige Karten +3 Stichwert","","","Architekt-Gebäude „Rampe"" — Effekt Stufe II","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_RAMPE.tier3.eff","building","niedrige Karten +4 Stichwert","","","Architekt-Gebäude „Rampe"" — Effekt Stufe III","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_RAMPE.tier4.eff","building","niedrige Karten +6 Stichwert","","","Architekt-Gebäude „Rampe"" — Effekt Stufe IV","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_RATHAUS.legendary.eff","building","Sieg +45 Score je Nachbargebäude (max 6)","","","Architekt-Gebäude „Rathaus"" — Effekt (legendär)","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_REIHENHAUS.tier1.eff","building","Sieg +9 Score je Serienpunkt (max 50) (Stufe III: ab Serie 4 doppelt)","","","Architekt-Gebäude „Reihenhaus"" — Effekt Stufe I","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_REIHENHAUS.tier2.eff","building","Sieg +14 Score je Serienpunkt (max 50) (Stufe III: ab Serie 4 doppelt)","","","Architekt-Gebäude „Reihenhaus"" — Effekt Stufe II","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_REIHENHAUS.tier3.eff","building","Sieg +20 Score je Serienpunkt (max 50) · ab Serie 4 doppelt","","","Architekt-Gebäude „Reihenhaus"" — Effekt Stufe III","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_REIHENHAUS.tier4.eff","building","Sieg +28 Score je Serienpunkt (max 50) · ab Serie 4 doppelt","","","Architekt-Gebäude „Reihenhaus"" — Effekt Stufe IV","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_RIEGEL.tier1.eff","building","alle Abgedeckten +1 Stichwert","","","Architekt-Gebäude „Riegel"" — Effekt Stufe I","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_RIEGEL.tier2.eff","building","alle Abgedeckten +2 Stichwert","","","Architekt-Gebäude „Riegel"" — Effekt Stufe II","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_RIEGEL.tier3.eff","building","alle Abgedeckten +3 Stichwert","","","Architekt-Gebäude „Riegel"" — Effekt Stufe III","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_RIEGEL.tier4.eff","building","alle Abgedeckten +4 Stichwert","","","Architekt-Gebäude „Riegel"" — Effekt Stufe IV","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_SCHATZ.legendary.eff","building","Siege hier ×1,30 Score","","","Architekt-Gebäude „Schatzkammer"" — Effekt (legendär)","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_SOCKEL.tier1.eff","building","niedrigste Karte +3 Stichwert","","","Architekt-Gebäude „Sockel"" — Effekt Stufe I","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_SOCKEL.tier2.eff","building","niedrigste Karte +5 Stichwert","","","Architekt-Gebäude „Sockel"" — Effekt Stufe II","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_SOCKEL.tier3.eff","building","niedrigste Karte +7 Stichwert","","","Architekt-Gebäude „Sockel"" — Effekt Stufe III","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_SOCKEL.tier4.eff","building","niedrigste Karte +9 Stichwert","","","Architekt-Gebäude „Sockel"" — Effekt Stufe IV","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_SPEICHER.tier1.eff","building","Sieg +40 Score je vollendeter Struktur","","","Architekt-Gebäude „Speicherstadt"" — Effekt Stufe I","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_SPEICHER.tier2.eff","building","Sieg +60 Score je vollendeter Struktur","","","Architekt-Gebäude „Speicherstadt"" — Effekt Stufe II","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_SPEICHER.tier3.eff","building","Sieg +88 Score je vollendeter Struktur","","","Architekt-Gebäude „Speicherstadt"" — Effekt Stufe III","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_SPEICHER.tier4.eff","building","Sieg +124 Score je vollendeter Struktur","","","Architekt-Gebäude „Speicherstadt"" — Effekt Stufe IV","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_SPIELBANK.legendary.eff","building","Crit-Sieg +500 Score · Sieg ohne Crit −80 Score","","","Architekt-Gebäude „Spielbank"" — Effekt (legendär)","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_STERNWARTE.legendary.eff","building","Sieg +90 Score je vollendeter Struktur","","","Architekt-Gebäude „Sternwarte"" — Effekt (legendär)","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_STUETZE.tier1.eff","building","alle Abgedeckten +1 Stichwert","","","Architekt-Gebäude „Stützbalken"" — Effekt Stufe I","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_STUETZE.tier2.eff","building","alle Abgedeckten +2 Stichwert","","","Architekt-Gebäude „Stützbalken"" — Effekt Stufe II","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_STUETZE.tier3.eff","building","alle Abgedeckten +3 Stichwert","","","Architekt-Gebäude „Stützbalken"" — Effekt Stufe III","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_STUETZE.tier4.eff","building","alle Abgedeckten +4 Stichwert","","","Architekt-Gebäude „Stützbalken"" — Effekt Stufe IV","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_VORWERK.tier1.eff","building","frühe Segmente +70 Score","","","Architekt-Gebäude „Vorwerk"" — Effekt Stufe I","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_VORWERK.tier2.eff","building","frühe Segmente +105 Score","","","Architekt-Gebäude „Vorwerk"" — Effekt Stufe II","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_VORWERK.tier3.eff","building","frühe Segmente +154 Score","","","Architekt-Gebäude „Vorwerk"" — Effekt Stufe III","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_VORWERK.tier4.eff","building","frühe Segmente +217 Score","","","Architekt-Gebäude „Vorwerk"" — Effekt Stufe IV","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_WEHRGANG.tier1.eff","building","frühe Segmente +2 Stichwert","","","Architekt-Gebäude „Wehrgang"" — Effekt Stufe I","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_WEHRGANG.tier2.eff","building","frühe Segmente +3 Stichwert","","","Architekt-Gebäude „Wehrgang"" — Effekt Stufe II","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_WEHRGANG.tier3.eff","building","frühe Segmente +4 Stichwert","","","Architekt-Gebäude „Wehrgang"" — Effekt Stufe III","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_WEHRGANG.tier4.eff","building","frühe Segmente +6 Stichwert","","","Architekt-Gebäude „Wehrgang"" — Effekt Stufe IV","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_WETTHALLE.tier1.eff","building","Crit-Sieg +260 Score · Sieg ohne Crit −60 Score","","","Architekt-Gebäude „Wetthalle"" — Effekt Stufe I","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_WETTHALLE.tier2.eff","building","Crit-Sieg +390 Score · Sieg ohne Crit −60 Score","","","Architekt-Gebäude „Wetthalle"" — Effekt Stufe II","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_WETTHALLE.tier3.eff","building","Crit-Sieg +572 Score · Sieg ohne Crit −60 Score","","","Architekt-Gebäude „Wetthalle"" — Effekt Stufe III","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_WETTHALLE.tier4.eff","building","Crit-Sieg +806 Score · Sieg ohne Crit −60 Score","","","Architekt-Gebäude „Wetthalle"" — Effekt Stufe IV","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_ZINNE.tier1.eff","building","Crit-Sieg +80 Score","","","Architekt-Gebäude „Zinne"" — Effekt Stufe I","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_ZINNE.tier2.eff","building","Crit-Sieg +120 Score","","","Architekt-Gebäude „Zinne"" — Effekt Stufe II","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_ZINNE.tier3.eff","building","Crit-Sieg +176 Score","","","Architekt-Gebäude „Zinne"" — Effekt Stufe III","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_ZINNE.tier4.eff","building","Crit-Sieg +248 Score","","","Architekt-Gebäude „Zinne"" — Effekt Stufe IV","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_ZOLLHAUS.tier1.eff","building","Sieg +35 Score (Stufe IV: zusätzlich ×1,15 Score)","","","Architekt-Gebäude „Zollhaus"" — Effekt Stufe I","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_ZOLLHAUS.tier2.eff","building","Sieg +53 Score (Stufe IV: zusätzlich ×1,15 Score)","","","Architekt-Gebäude „Zollhaus"" — Effekt Stufe II","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_ZOLLHAUS.tier3.eff","building","Sieg +77 Score (Stufe IV: zusätzlich ×1,15 Score)","","","Architekt-Gebäude „Zollhaus"" — Effekt Stufe III","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_ZOLLHAUS.tier4.eff","building","Sieg +109 Score · zusätzlich ×1,15 Score","","","Architekt-Gebäude „Zollhaus"" — Effekt Stufe IV","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_ZUNFTHAUS.tier1.eff","building","passende Farbe +130 Score","","","Architekt-Gebäude „Zunfthaus"" — Effekt Stufe I","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_ZUNFTHAUS.tier2.eff","building","passende Farbe +195 Score","","","Architekt-Gebäude „Zunfthaus"" — Effekt Stufe II","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_ZUNFTHAUS.tier3.eff","building","passende Farbe +286 Score","","","Architekt-Gebäude „Zunfthaus"" — Effekt Stufe III","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_ZUNFTHAUS.tier4.eff","building","passende Farbe +403 Score","","","Architekt-Gebäude „Zunfthaus"" — Effekt Stufe IV","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_ZUNFTV.tier1.eff","building","+1 Stichwert je Nachbargebäude (max 3)","","","Architekt-Gebäude „Zunftviertel"" — Effekt Stufe I","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_ZUNFTV.tier2.eff","building","+2 Stichwert je Nachbargebäude (max 3)","","","Architekt-Gebäude „Zunftviertel"" — Effekt Stufe II","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_ZUNFTV.tier3.eff","building","+3 Stichwert je Nachbargebäude (max 3)","","","Architekt-Gebäude „Zunftviertel"" — Effekt Stufe III","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_ZUNFTV.tier4.eff","building","+4 Stichwert je Nachbargebäude (max 3)","","","Architekt-Gebäude „Zunftviertel"" — Effekt Stufe IV","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_ZWINGER.legendary.eff","building","+3 Stichwert je Nachbargebäude (max 5)","","","Architekt-Gebäude „Zwinger"" — Effekt (legendär)","","new","erzeugt aus src/i18n/buildingText.js"
"ability.SK_FIRE_01.desc","i18n","Siege mit Kampfwert-Vorsprung geben ×1,25 Hitze.","Las victorias con margen dan ×1,25 de calor. Poco común ×1,5, Rara ×1,75, Épica ×2.","Wins with a margin give ×1.25 heat. Uncommon ×1.5, Rare ×1.75, Epic ×2.","i18n-Katalog (src/i18n) — über t() aufgelöst","","done",""
"ability.SK_FIRE_01.desc.0","i18n","Siege mit Kampfwert-Vorsprung geben ×1,25 Hitze.","","","i18n-Katalog (src/i18n) — über t() aufgelöst","","new",""
"ability.SK_FIRE_01.desc.1","i18n","Siege mit Kampfwert-Vorsprung geben ×1,5 Hitze.","","","i18n-Katalog (src/i18n) — über t() aufgelöst","","new",""
"ability.SK_FIRE_01.desc.2","i18n","Siege mit Kampfwert-Vorsprung geben ×1,75 Hitze.","","","i18n-Katalog (src/i18n) — über t() aufgelöst","","new",""
"ability.SK_FIRE_01.desc.3","i18n","Siege mit Kampfwert-Vorsprung geben ×2 Hitze.","","","i18n-Katalog (src/i18n) — über t() aufgelöst","","new",""
"ability.SK_FIRE_01.name","i18n","Glut","Brasa","Ember","i18n-Katalog (src/i18n) — über t() aufgelöst","","done",""
"ability.SK_FIRE_02.desc","i18n","Jeder Sieg gibt +1 % Hitze, auch ein knapper.","Cada victoria da +1 % de calor, incluso una ajustada. Poco común +2 %, Rara +3 %, Épica +4 %.","Every win gives +1% heat, even a narrow one. Uncommon +2%, Rare +3%, Epic +4%.","i18n-Katalog (src/i18n) — über t() aufgelöst","","done",""
"ability.SK_FIRE_02.desc.0","i18n","Jeder Sieg gibt +1 % Hitze, auch ein knapper.","","","i18n-Katalog (src/i18n) — über t() aufgelöst","","new",""
"ability.SK_FIRE_02.desc.1","i18n","Jeder Sieg gibt +2 % Hitze, auch ein knapper.","","","i18n-Katalog (src/i18n) — über t() aufgelöst","","new",""
"ability.SK_FIRE_02.desc.2","i18n","Jeder Sieg gibt +3 % Hitze, auch ein knapper.","","","i18n-Katalog (src/i18n) — über t() aufgelöst","","new",""
"ability.SK_FIRE_02.desc.3","i18n","Jeder Sieg gibt +4 % Hitze, auch ein knapper.","","","i18n-Katalog (src/i18n) — über t() aufgelöst","","new",""
"ability.SK_FIRE_02.name","i18n","Zunder","Yesca","Tinder","i18n-Katalog (src/i18n) — über t() aufgelöst","","done",""
"ability.SK_FIRE_03.desc","i18n","Jeder Sieg gibt +0,5 % Hitze je Serienpunkt.","Cada victoria da +0,5 % de calor por punto de racha. Poco común +1 %, Rara +1,5 %, Épica +2 %.","Every win gives +0.5% heat per streak point. Uncommon +1%, Rare +1.5%, Epic +2%.","i18n-Katalog (src/i18n) — über t() aufgelöst","","done",""
"ability.SK_FIRE_03.desc.0","i18n","Jeder Sieg gibt +0,5 % Hitze je Serienpunkt.","","","i18n-Katalog (src/i18n) — über t() aufgelöst","","new",""
"ability.SK_FIRE_03.desc.1","i18n","Jeder Sieg gibt +1 % Hitze je Serienpunkt.","","","i18n-Katalog (src/i18n) — über t() aufgelöst","","new",""
"ability.SK_FIRE_03.desc.2","i18n","Jeder Sieg gibt +1,5 % Hitze je Serienpunkt.","","","i18n-Katalog (src/i18n) — über t() aufgelöst","","new",""
