"id","category","de","en","context","limit","status","note"
"store.architectscreen.upgrade-confirm-hint","store","Mit „⬆ Aufwerten bestätigen“ unten wird die Aufwertung ausgeführt.","","Hinweis im Aufrüst-Auswahlfenster (#237). · enthält den Button-Namen wörtlich (inline <b>)","","new","DELTA seit 85921f7: NEU (in v1 nicht vorhanden)"
"store.architectscreen.upgrade-instructions","store","Aufrüsten: tippe ein aufwertbares Gebäude, um es auszuwählen — du siehst dann den aktuellen und den nächsten Effekt und bestätigst mit dem Knopf. Nicht aufwertbare (Legendär/No-op-Effekt/max) sind ausgegraut.","","Anleitungstext in der Aufrüst-Phase (#237: kein Sofort-Upgrade, erst auswählen dann bestätigen). · „Aufrüsten:"" und „aufwertbares"" sind fett","","new","DELTA seit 85921f7: GEÄNDERT — war „Aufrüsten: tippe ein aufwertbares Gebäude → +1 Stufe. Nicht aufwertbare (Legendär/No-op-Effekt/max) sind ausgegraut.“"
"store.architectscreen.upgrade-next-label","store","Danach:","","Label vor dem Effekt der nächsten Stufe im Aufrüst-Auswahlfenster (#237).","","new","DELTA seit 85921f7: NEU (in v1 nicht vorhanden)"
"store.architectscreen.upgrade-now-label","store","Jetzt:","","Label vor dem aktuellen Effekt im Aufrüst-Auswahlfenster (#237).","","new","DELTA seit 85921f7: NEU (in v1 nicht vorhanden)"
"tutorial.glossary.bank.text","tutorial","Machst du einen kostenlosen Frosttausch nicht, wird er stattdessen in eine Schicht umgewandelt — so wachsen deine Karten auch ohne zu tauschen.","","Glossar-Erklärung „Bank (Ablage)"" (Kat. frak) — Fließtext im Glossar-Overlay","","new","DELTA seit 85921f7: GEÄNDERT — war „Ungenutzte Frosttausche banken Schicht-Fortschritt — Geduld verdichtet Schnee zu Gletschereis.“"
"tutorial.glossary.consume.text","tutorial","Ein Skill, der eine angesammelte Ressource für einen starken Effekt verbraucht: Feuer verbrennt Hitze, Blitz verbraucht Ladung. Feuer-Hitze-Konsumenten sind kombinierbar (mehrere gleichzeitig erlaubt); von den Blitz-Ladungs-Konsumenten gilt höchstens einer gleichzeitig — ein zweiter ersetzt ihn.","","Glossar-Erklärung „Konsument"" (Kat. frak) — Fließtext im Glossar-Overlay","","new","DELTA seit 85921f7: GEÄNDERT — war „Ein Skill, der eine angesammelte Ressource (Hitze bzw. Ladung) für einen starken Effekt verbraucht. Höchstens ein Konsument gleichzeitig — ein zweiter ersetzt den bestehenden.“"
"tutorial.glossary.eisanker.text","tutorial","Eine Frostkarte zählt allein auf ihrem Platz als Formation (×1,25 Punkte) und bekommt dabei sicher eine Schicht dazu — auch wenn keine echte Formation entsteht.","","Glossar-Erklärung „Eisanker"" (Kat. frak) — Fließtext im Glossar-Overlay","","new","DELTA seit 85921f7: GEÄNDERT — war „Eine Frostkarte steht als Anker (×1,25) und lagert dabei garantiert eine Schicht ab — auch ohne volle Formation.“"
"tutorial.glossary.farbtransparenz.text","tutorial","Eine so markierte Karte unterbricht einen Farbblock nicht: der Block läuft über sie hinweg, als wäre sie nicht da (sie selbst zählt aber nicht mit). Kommt vom Architekt-Gebäude Arkade.","","Glossar-Erklärung „Farbblock-Transparenz"" (Kat. form) — Fließtext im Glossar-Overlay","","new","DELTA seit 85921f7: GEÄNDERT — war „Eine so markierte Karte unterbricht einen Farbblock nicht — sie wird übersprungen (transparent) und zählt selbst nicht als Mitglied, sodass der Farbblock über eine andersfarbige Karte hinwegläuft. Kommt vom Architekt-Gebäude Arkade.“"
"tutorial.glossary.freeze.text","tutorial","Eis friert eigene Karten dauerhaft ein (blau): 2 beim ersten Eis-Skill, +1 je weiterem (Frostgriff: +2). Frostkarten sammeln Schichten (Dauerwert), helfen beim Bilden von Formationen und dürfen 1× je Aufstellungsphase kostenlos getauscht werden.","","Glossar-Erklärung „Eingefroren"" (Kat. frak) — Fließtext im Glossar-Overlay","","new","DELTA seit 85921f7: GEÄNDERT — war „Eis friert eigene Karten dauerhaft ein (blau): 2 beim ersten Eis-Skill, +1 je weiterem (Frostgriff: +2). Frostkarten biegen Formationen, lagern Schichten ab und dürfen 1× je Aufstellungsphase kostenlos getauscht werden.“"
"tutorial.glossary.glutdividende.text","tutorial","Zusätzliche Punkte bei jedem Feuer-Sieg, die direkt zählen (ohne Serie/Crit/Formation zu durchlaufen). Je mehr Hitze du hältst, desto mehr — bis zu einem Deckel. Stark im frühen Spiel.","","Glossar-Erklärung „Glutdividende"" (Kat. frak) — Fließtext im Glossar-Overlay","","new","DELTA seit 85921f7: GEÄNDERT — war „Ein direkter Score je Feuer-Sieg, der NICHT durch Serie/Crit/Formation multipliziert wird — hebt das frühe Spiel (∝ gehaltener Hitze, gedeckelt).“"
"tutorial.glossary.grenzbonus.text","tutorial","Läuft eine Formation über eine Segmentgrenze hinweg, geben ihre Karten zusätzlich ×1,25 Punkte. Kommt vom Perk Segmentarbeit (Stufe IV).","","Glossar-Erklärung „Grenzbonus"" (Kat. form) — Fließtext im Glossar-Overlay","","new","DELTA seit 85921f7: GEÄNDERT — war „Karten einer Formation, die eine Segmentgrenze überschreitet, geben zusätzlich ×1,25 (aus Segmentarbeit IV).“"
"tutorial.glossary.kaskade.text","tutorial","Ein Crit auf oder neben einer ionisierten Karte erzeugt zusätzliche Ladung — so lösen Treffer weitere Treffer aus.","","Glossar-Erklärung „Kaskade"" (Kat. frak) — Fließtext im Glossar-Overlay","","new","DELTA seit 85921f7: GEÄNDERT — war „Ereignis zündet Ereignis: ein Crit auf oder neben einer Karte mit Ionisierung erzeugt Zusatzladung — der Sturm nährt sich selbst.“"
"tutorial.glossary.nachhall.text","tutorial","Endet eine Formation, überträgt sich ihr Formations-Faktor noch einmal auf die direkt nächste Karte — der Bonus wirkt nach.","","Glossar-Erklärung „Nachhall"" (Kat. form) — Fließtext im Glossar-Overlay","","new","DELTA seit 85921f7: GEÄNDERT — war „Der Faktor einer endenden Formation hält nach und überträgt sich auf die direkt folgende Karte.“"
"tutorial.glossary.schichten.text","tutorial","Eine Frostkarte sammelt Schichten. Jede Schicht gibt ihr +1 dauerhaften Kartenwert (bis 12). Schichten gehen nie verloren. Nur legendäre Eis-Skills nutzen Schichten über 12 hinaus — für Extra-Punkte.","","Glossar-Erklärung „Schichten"" (Kat. frak) — Fließtext im Glossar-Overlay","","new","DELTA seit 85921f7: GEÄNDERT — war „Permanenter Kartenwert je Frostkarte (unverlierbar — der Spine). Je tiefer der Stapel, desto mehr Wert und Score. Wirksamer Deckel 12; die Tiefe darüber füttert die Legendären.“"
"tutorial.glossary.skillrunde.text","tutorial","Zu festen Zeitpunkten im Lauf (erstmals Runde 7) bietet dir eine Runde Skills statt eines Perks — 12 Skills zur Auswahl, alle 4 Archetypen dabei.","","Glossar-Erklärung „Skill-Runde"" (Kat. frak) — Fließtext im Glossar-Overlay","","new","DELTA seit 85921f7: GEÄNDERT — war „Jede dritte Entscheidung bietet Skills statt Perks (12 Skills, alle 4 Archetypen im Angebot).“"
"tutorial.glossary.wurzeln.text","tutorial","Der einzige Weg, den Kartenwert grüner Karten zu erhöhen (bis zum Deckel 11). Ist der Deckel erreicht, geben weitere Wurzeln stattdessen Punkte.","","Glossar-Erklärung „Wurzeln"" (Kat. frak) — Fließtext im Glossar-Overlay","","new","DELTA seit 85921f7: GEÄNDERT — war „Der einzige Weg, den Kartenwert grüner Karten zu heben (bis zum Deckel). Tiefe zahlt danach in Score.“"
"ui.buildpanel.skills-empty","ui","Noch keine Skills — ab Runde {n} wählbar.","","Leerzustand der Skill-Liste im Build-Panel. · Var.: {n} = erste Skill-Runde (FIRST_SKILL_CYCLE, aktuell 7)","","new","DELTA seit 85921f7: GEÄNDERT — war „Noch keine Skills — ab Runde 3 wählbar.“"
"ui.skillselect.held-replace-suffix","ui","↔ diesen ersetzen","","Marker am antippbaren Skill im Ersetzen-Modal.","","new","DELTA seit 85921f7: GEÄNDERT — war „↔ ersetzen“"
"ui.skillselect.replace-hint-full","ui","Alle {maxSlots} Slots belegt. Wähle einen neuen Skill — ein Fenster fragt dann, welchen du ersetzt.","","Hinweis bei vollen Skill-Slots (#234: Ersetzen läuft jetzt über ein Fenster). · Var.: {maxSlots} = maximale Skill-Slots","","new","DELTA seit 85921f7: GEÄNDERT — war „Alle {maxSlots} Slots belegt. Wähle einen neuen Skill, dann tippe unten den zu ersetzenden Skill an.“"
"ui.skillselect.replace-modal-cancel","ui","Abbrechen","","Abbrechen-Button im Ersetzen-Modal (#234).","","new","DELTA seit 85921f7: NEU (in v1 nicht vorhanden)"
"ui.skillselect.replace-modal-eyebrow","ui","Slots voll","","Kleine Überschrift (Eyebrow) über dem Ersetzen-Modal (#234).","","new","DELTA seit 85921f7: NEU (in v1 nicht vorhanden)"
"ui.skillselect.replace-modal-intro","ui","Neu: {skillName}. Tippe den Skill, der weichen soll.","","Einleitungstext im Ersetzen-Modal (#234). · Var.: {skillName} = Icon + Name des neu gewählten Skills","","new","DELTA seit 85921f7: NEU (in v1 nicht vorhanden)"
